DateTime,Players,Final Price
1/1/2018 0:00,87474,209.4
1/2/2018 0:00,90574,209.4
1/3/2018 0:00,88547,209.4
1/4/2018 0:00,92955,349
1/5/2018 0:00,102587,349
1/6/2018 0:00,109318,349
1/7/2018 0:00,102226,349
1/8/2018 0:00,80542,349
1/9/2018 0:00,78834,349
1/10/2018 0:00,80999,349
1/11/2018 0:00,79497,349
1/12/2018 0:00,91391,349
1/13/2018 0:00,107452,349
1/14/2018 0:00,97520,349
1/15/2018 0:00,79231,349
1/16/2018 0:00,77053,349
1/17/2018 0:00,79287,349
1/18/2018 0:00,79366,349
1/19/2018 0:00,88238,349
1/20/2018 0:00,100428,349
1/21/2018 0:00,94972,349
1/22/2018 0:00,85102,349
1/23/2018 0:00,71072,349
1/24/2018 0:00,82543,349
1/25/2018 0:00,82954,349
1/26/2018 0:00,85414,349
1/27/2018 0:00,96554,349
1/28/2018 0:00,95701,349
1/29/2018 0:00,74595,349
1/30/2018 0:00,80850,349
1/31/2018 0:00,77290,349
2/1/2018 0:00,80086,349
2/2/2018 0:00,89437,349
2/3/2018 0:00,99612,349
2/4/2018 0:00,99184,349
2/5/2018 0:00,77394,349
2/6/2018 0:00,79990,349
2/7/2018 0:00,85371,349
2/8/2018 0:00,81674,349
2/9/2018 0:00,88099,349
2/10/2018 0:00,98058,349
2/11/2018 0:00,99128,349
2/12/2018 0:00,82961,349
2/13/2018 0:00,82384,349
2/14/2018 0:00,76498,349
2/15/2018 0:00,83156,349
2/16/2018 0:00,97797,349
2/17/2018 0:00,116140,349
2/18/2018 0:00,125454,349
2/19/2018 0:00,99430,349
2/20/2018 0:00,96798,349
2/21/2018 0:00,96344,349
2/22/2018 0:00,94184,349
2/23/2018 0:00,110336,349
2/24/2018 0:00,121054,349
2/25/2018 0:00,119290,349
2/26/2018 0:00,97181,349
2/27/2018 0:00,100533,349
2/28/2018 0:00,103176,349
3/1/2018 0:00,106002,349
3/2/2018 0:00,119563,349
3/3/2018 0:00,133106,349
3/4/2018 0:00,123702,349
3/5/2018 0:00,101042,349
3/6/2018 0:00,117007,349
3/7/2018 0:00,176784,349
3/8/2018 0:00,153274,349
3/9/2018 0:00,162181,349
3/10/2018 0:00,178953,349
3/11/2018 0:00,161990,349
3/12/2018 0:00,123333,349
3/13/2018 0:00,123552,349
3/14/2018 0:00,110788,349
3/15/2018 0:00,118957,349
3/16/2018 0:00,138714,349
3/17/2018 0:00,152188,349
3/18/2018 0:00,139913,349
3/19/2018 0:00,92766,349
3/20/2018 0:00,100055,349
3/21/2018 0:00,113768,349
3/22/2018 0:00,107697,349
3/23/2018 0:00,127072,349
3/24/2018 0:00,144311,349
3/25/2018 0:00,143612,349
3/26/2018 0:00,113769,349
