DateTime,Players,FinalPrice,DateTimeStr
1/1/2017 0:00,30547,604.5,2017-01-01
1/2/2017 0:00,34504,1209,2017-01-02
1/3/2017 0:00,30129,1209,2017-01-03
1/4/2017 0:00,28738,1209,2017-01-04
1/5/2017 0:00,28180,1209,2017-01-05
1/6/2017 0:00,30472,1209,2017-01-06
1/7/2017 0:00,33358,1209,2017-01-07
1/8/2017 0:00,31922,1209,2017-01-08
1/9/2017 0:00,25360,1209,2017-01-09
1/10/2017 0:00,24998,1209,2017-01-10
1/11/2017 0:00,24388,1209,2017-01-11
1/12/2017 0:00,24502,1209,2017-01-12
1/13/2017 0:00,27802,1209,2017-01-13
1/14/2017 0:00,31686,1209,2017-01-14
1/15/2017 0:00,31564,1209,2017-01-15
1/16/2017 0:00,28007,1209,2017-01-16
1/17/2017 0:00,25030,1209,2017-01-17
1/18/2017 0:00,25516,1209,2017-01-18
1/19/2017 0:00,24352,1209,2017-01-19
1/20/2017 0:00,26784,1209,2017-01-20
1/21/2017 0:00,30426,1209,2017-01-21
1/22/2017 0:00,30774,1209,2017-01-22
1/23/2017 0:00,24019,1209,2017-01-23
1/24/2017 0:00,23687,1209,2017-01-24
1/25/2017 0:00,23785,1209,2017-01-25
1/26/2017 0:00,23197,1209,2017-01-26
1/27/2017 0:00,25771,1209,2017-01-27
1/28/2017 0:00,29299,1209,2017-01-28
1/29/2017 0:00,30507,1209,2017-01-29
1/30/2017 0:00,24139,1209,2017-01-30
1/31/2017 0:00,23790,1209,2017-01-31
2/1/2017 0:00,23820,1209,2017-02-01
2/2/2017 0:00,27697,604.5,2017-02-02
2/3/2017 0:00,42394,604.5,2017-02-03
2/4/2017 0:00,59199,604.5,2017-02-04
2/5/2017 0:00,65010,604.5,2017-02-05
2/6/2017 0:00,41778,1209,2017-02-06
2/7/2017 0:00,46259,1209,2017-02-07
2/8/2017 0:00,52115,1209,2017-02-08
2/9/2017 0:00,43122,1209,2017-02-09
2/10/2017 0:00,48865,1209,2017-02-10
2/11/2017 0:00,54908,1209,2017-02-11
2/12/2017 0:00,52661,1209,2017-02-12
2/13/2017 0:00,39276,1209,2017-02-13
2/14/2017 0:00,37869,1209,2017-02-14
2/15/2017 0:00,38708,1209,2017-02-15
2/16/2017 0:00,36699,1209,2017-02-16
