DateTime,Players,Final Price
12/6/2017 00:00,69821,1499
13/6/2017 00:00,132106,1499
14/6/2017 00:00,115888,1499
15/6/2017 00:00,110565,1499
16/6/2017 00:00,113139,1499
17/6/2017 00:00,115303,1499
18/6/2017 00:00,108771,1499
19/6/2017 00:00,92306,1499
20/6/2017 00:00,90457,1499
21/6/2017 00:00,86040,1499
22/6/2017 00:00,80255,1499
23/6/2017 00:00,86749,1499
24/6/2017 00:00,100848,1499
25/6/2017 00:00,99041,1499
26/6/2017 00:00,90547,1499
27/6/2017 00:00,93457,1499
28/6/2017 00:00,93493,1499
29/6/2017 00:00,92601,1499
30/6/2017 00:00,100925,1499
1/7/2017 00:00,108806,1499
2/7/2017 00:00,112074,1499
3/7/2017 00:00,101460,1499
4/7/2017 00:00,102069,1499
5/7/2017 00:00,101544,1499
6/7/2017 00:00,99655,1499
7/7/2017 00:00,100409,1499
8/7/2017 00:00,101498,1499
9/7/2017 00:00,100583,1499
10/7/2017 00:00,92374,1499
11/7/2017 00:00,89382,1499
12/7/2017 00:00,88645,1499
13/7/2017 00:00,85087,1499
14/7/2017 00:00,87286,1499
15/7/2017 00:00,87252,1499
16/7/2017 00:00,89811,1499
17/7/2017 00:00,83156,1499
18/7/2017 00:00,79427,1499
19/7/2017 00:00,76684,1499
20/7/2017 00:00,77680,1499
21/7/2017 00:00,77032,1499
22/7/2017 00:00,79567,1499
23/7/2017 00:00,84613,1499
24/7/2017 00:00,79575,1499
25/7/2017 00:00,79506,1499
26/7/2017 00:00,77445,1499
27/7/2017 00:00,78090,1499
28/7/2017 00:00,75954,1499
29/7/2017 00:00,78168,1499
30/7/2017 00:00,80189,1499
31/7/2017 00:00,74831,1499
1/8/2017 00:00,72690,1499
2/8/2017 00:00,75463,1499
3/8/2017 00:00,75029,1499
4/8/2017 00:00,72900,1499
5/8/2017 00:00,74495,1499
6/8/2017 00:00,76671,1499
7/8/2017 00:00,70543,1499
8/8/2017 00:00,72673,1499
9/8/2017 00:00,69943,1499
10/8/2017 00:00,69646,1499
11/8/2017 00:00,69014,1499
12/8/2017 00:00,72399,1499
13/8/2017 00:00,75266,1499
14/8/2017 00:00,68532,1499
15/8/2017 00:00,69362,1499
16/8/2017 00:00,69795,1499
17/8/2017 00:00,65814,1499
18/8/2017 00:00,71439,1499
19/8/2017 00:00,74885,1499
20/8/2017 00:00,77994,1499
21/8/2017 00:00,68063,749.5
22/8/2017 00:00,73867,749.5
23/8/2017 00:00,83474,749.5
24/8/2017 00:00,86397,749.5
25/8/2017 00:00,96023,1499
26/8/2017 00:00,103212,1499
27/8/2017 00:00,104896,1499
28/8/2017 00:00,94017,1499
29/8/2017 00:00,121837,1499
30/8/2017 00:00,103671,1499
