DateTime,Players,Final Price
1-1-2018 0:00,87474,209.4
2-1-2018 0:00,90574,209.4
3-1-2018 0:00,88547,209.4
4-1-2018 0:00,92955,349
5-1-2018 0:00,102587,349
6-1-2018 0:00,109318,349
7-1-2018 0:00,102226,349
8-1-2018 0:00,80542,349
9-1-2018 0:00,78834,349
10-1-2018 0:00,80999,349
11-1-2018 0:00,79497,349
12-1-2018 0:00,91391,349
13-1-2018 0:00,107452,349
14-1-2018 0:00,97520,349
15-1-2018 0:00,79231,349
16-1-2018 0:00,77053,349
17-1-2018 0:00,79287,349
18-1-2018 0:00,79366,349
19-1-2018 0:00,88238,349
20-1-2018 0:00,100428,349
21-1-2018 0:00,94972,349
22-1-2018 0:00,85102,349
23-1-2018 0:00,71072,349
24-1-2018 0:00,82543,349
25-1-2018 0:00,82954,349
26-1-2018 0:00,85414,349
27-1-2018 0:00,96554,349
28-1-2018 0:00,95701,349
29-1-2018 0:00,74595,349
30-1-2018 0:00,80850,349
31-1-2018 0:00,77290,349
1-2-2018 0:00,80086,349
2-2-2018 0:00,89437,349
3-2-2018 0:00,99612,349
4-2-2018 0:00,99184,349
5-2-2018 0:00,77394,349
6-2-2018 0:00,79990,349
7-2-2018 0:00,85371,349
8-2-2018 0:00,81674,349
9-2-2018 0:00,88099,349
10-2-2018 0:00,98058,349
11-2-2018 0:00,99128,349
12-2-2018 0:00,82961,349
13-2-2018 0:00,82384,349
14-2-2018 0:00,76498,349
15-2-2018 0:00,83156,349
16-2-2018 0:00,97797,349
17-2-2018 0:00,116140,349
18-2-2018 0:00,125454,349
19-2-2018 0:00,99430,349
20-2-2018 0:00,96798,349
21-2-2018 0:00,96344,349
22-2-2018 0:00,94184,349
23-2-2018 0:00,110336,349
24-2-2018 0:00,121054,349
25-2-2018 0:00,119290,349
26-2-2018 0:00,97181,349
27-2-2018 0:00,100533,349
28-2-2018 0:00,103176,349
1-3-2018 0:00,106002,349
2-3-2018 0:00,119563,349
3-3-2018 0:00,133106,349
4-3-2018 0:00,123702,349
5-3-2018 0:00,101042,349
6-3-2018 0:00,117007,349
7-3-2018 0:00,176784,349
8-3-2018 0:00,153274,349
9-3-2018 0:00,162181,349
10-3-2018 0:00,178953,349
11-3-2018 0:00,161990,349
12-3-2018 0:00,123333,349
13-3-2018 0:00,123552,349
14-3-2018 0:00,110788,349
15-3-2018 0:00,118957,349
16-3-2018 0:00,138714,349
17-3-2018 0:00,152188,349
18-3-2018 0:00,139913,349
19-3-2018 0:00,92766,349
20-3-2018 0:00,100055,349
21-3-2018 0:00,113768,349
22-3-2018 0:00,107697,349
23-3-2018 0:00,127072,349
24-3-2018 0:00,144311,349
25-3-2018 0:00,143612,349
26-3-2018 0:00,113769,349
27-3-2018 0:00,112499,349
28-3-2018 0:00,114548,349
29-3-2018 0:00,114748,349
30-3-2018 0:00,130504,349
31-3-2018 0:00,131928,349
1-4-2018 0:00,116954,349
2-4-2018 0:00,112092,349
3-4-2018 0:00,106402,349
4-4-2018 0:00,115611,349
5-4-2018 0:00,111211,349
6-4-2018 0:00,113381,349
7-4-2018 0:00,114997,349
8-4-2018 0:00,111651,349
9-4-2018 0:00,97062,349
10-4-2018 0:00,99065,349
11-4-2018 0:00,99836,349
12-4-2018 0:00,103153,349
13-4-2018 0:00,116529,349
14-4-2018 0:00,125070,349
15-4-2018 0:00,115606,349
16-4-2018 0:00,98763,349
17-4-2018 0:00,100741,349
18-4-2018 0:00,102921,349
19-4-2018 0:00,99486,349
20-4-2018 0:00,114101,349
21-4-2018 0:00,122786,349
22-4-2018 0:00,109659,349
23-4-2018 0:00,94883,349
24-4-2018 0:00,95809,349
25-4-2018 0:00,94304,349
26-4-2018 0:00,94136,349
27-4-2018 0:00,104382,349
28-4-2018 0:00,114224,349
29-4-2018 0:00,111034,349
30-4-2018 0:00,104954,349
1-5-2018 0:00,101234,349
2-5-2018 0:00,95123,349
3-5-2018 0:00,92726,349
4-5-2018 0:00,114267,349
5-5-2018 0:00,115247,349
6-5-2018 0:00,105536,349
7-5-2018 0:00,90823,239
8-5-2018 0:00,94746,239
9-5-2018 0:00,95171,239
10-5-2018 0:00,95557,239
11-5-2018 0:00,103776,349
12-5-2018 0:00,112276,349
13-5-2018 0:00,102137,349
14-5-2018 0:00,91782,349
15-5-2018 0:00,87907,349
16-5-2018 0:00,88788,349
17-5-2018 0:00,90882,233.83
18-5-2018 0:00,121151,233.83
19-5-2018 0:00,142308,233.83
20-5-2018 0:00,132135,233.83
21-5-2018 0:00,126584,349
22-5-2018 0:00,119771,349
23-5-2018 0:00,111129,349
24-5-2018 0:00,88049,349
25-5-2018 0:00,124443,349
26-5-2018 0:00,128728,349
27-5-2018 0:00,116412,349
28-5-2018 0:00,94252,349
29-5-2018 0:00,102977,349
30-5-2018 0:00,102086,349
31-5-2018 0:00,100383,349
1-6-2018 0:00,112414,349
2-6-2018 0:00,118663,349
3-6-2018 0:00,109559,349
4-6-2018 0:00,95674,349
5-6-2018 0:00,100292,349
6-6-2018 0:00,99107,349
7-6-2018 0:00,113277,349
8-6-2018 0:00,143183,349
9-6-2018 0:00,138078,349
10-6-2018 0:00,126963,349
11-6-2018 0:00,107252,349
12-6-2018 0:00,107971,349
13-6-2018 0:00,103912,349
14-6-2018 0:00,105130,349
15-6-2018 0:00,108109,349
16-6-2018 0:00,107182,349
17-6-2018 0:00,110746,349
18-6-2018 0:00,94083,349
19-6-2018 0:00,95176,349
20-6-2018 0:00,84967,349
21-6-2018 0:00,96030,349
22-6-2018 0:00,102882,349
23-6-2018 0:00,104886,349
24-6-2018 0:00,102018,349
25-6-2018 0:00,92010,349
26-6-2018 0:00,94587,349
27-6-2018 0:00,96400,349
28-6-2018 0:00,91241,349
29-6-2018 0:00,92605,349
30-6-2018 0:00,97915,349
1-7-2018 0:00,95867,349
2-7-2018 0:00,90938,349
3-7-2018 0:00,94167,349
4-7-2018 0:00,101689,349
5-7-2018 0:00,101223,349
6-7-2018 0:00,105094,349
7-7-2018 0:00,107758,349
8-7-2018 0:00,103735,349
9-7-2018 0:00,100118,349
10-7-2018 0:00,103368,349
11-7-2018 0:00,104640,349
12-7-2018 0:00,101519,349
13-7-2018 0:00,105175,349
14-7-2018 0:00,103839,349
15-7-2018 0:00,105208,349
16-7-2018 0:00,102451,349
17-7-2018 0:00,110262,349
18-7-2018 0:00,115114,349
19-7-2018 0:00,109919,349
20-7-2018 0:00,112900,349
21-7-2018 0:00,114890,349
22-7-2018 0:00,117024,349
23-7-2018 0:00,101733,349
24-7-2018 0:00,103414,349
25-7-2018 0:00,101492,349
26-7-2018 0:00,99899,349
27-7-2018 0:00,99937,349
28-7-2018 0:00,100351,349
29-7-2018 0:00,100890,349
30-7-2018 0:00,98632,349
31-7-2018 0:00,97898,349
1-8-2018 0:00,98429,349
2-8-2018 0:00,98668,349
3-8-2018 0:00,99352,349
4-8-2018 0:00,101525,349
5-8-2018 0:00,104660,349
6-8-2018 0:00,101685,349
7-8-2018 0:00,102510,349
8-8-2018 0:00,103377,349
9-8-2018 0:00,99770,349
10-8-2018 0:00,92390,349
11-8-2018 0:00,95825,349
12-8-2018 0:00,96412,349
13-8-2018 0:00,94901,349
14-8-2018 0:00,98694,349
15-8-2018 0:00,96687,349
16-8-2018 0:00,95486,244.3
17-8-2018 0:00,115832,244.3
18-8-2018 0:00,130546,244.3
19-8-2018 0:00,135451,244.3
20-8-2018 0:00,130937,349
21-8-2018 0:00,115763,349
22-8-2018 0:00,127904,349
23-8-2018 0:00,117509,349
24-8-2018 0:00,119387,349
25-8-2018 0:00,125197,349
26-8-2018 0:00,123400,349
27-8-2018 0:00,112769,349
28-8-2018 0:00,113633,349
29-8-2018 0:00,111728,349
30-8-2018 0:00,109767,349
31-8-2018 0:00,116400,349
1-9-2018 0:00,120196,349
2-9-2018 0:00,114438,349
3-9-2018 0:00,103969,349
4-9-2018 0:00,100068,349
5-9-2018 0:00,131179,349
6-9-2018 0:00,115465,349
7-9-2018 0:00,132514,349
8-9-2018 0:00,143730,349
9-9-2018 0:00,133116,349
10-9-2018 0:00,106701,349
11-9-2018 0:00,115973,349
12-9-2018 0:00,109740,450
13-9-2018 0:00,102976,450
14-9-2018 0:00,121226,450
15-9-2018 0:00,135045,450
16-9-2018 0:00,125152,450
17-9-2018 0:00,96234,450
18-9-2018 0:00,84296,450
19-9-2018 0:00,92501,450
20-9-2018 0:00,94771,450
21-9-2018 0:00,111938,450
22-9-2018 0:00,124402,450
23-9-2018 0:00,126777,450
24-9-2018 0:00,93336,450
25-9-2018 0:00,96011,450
26-9-2018 0:00,98224,450
27-9-2018 0:00,93838,450
28-9-2018 0:00,104731,450
29-9-2018 0:00,120925,450
30-9-2018 0:00,128742,450
1-10-2018 0:00,89811,450
2-10-2018 0:00,103859,450
3-10-2018 0:00,103513,450
4-10-2018 0:00,97084,450
5-10-2018 0:00,106187,450
6-10-2018 0:00,123540,450
7-10-2018 0:00,114832,450
8-10-2018 0:00,93751,450
9-10-2018 0:00,91079,450
10-10-2018 0:00,88462,450
11-10-2018 0:00,86674,450
12-10-2018 0:00,104687,450
13-10-2018 0:00,116878,450
14-10-2018 0:00,105244,450
15-10-2018 0:00,81899,450
16-10-2018 0:00,82457,450
17-10-2018 0:00,83135,450
18-10-2018 0:00,74790,450
19-10-2018 0:00,98100,450
20-10-2018 0:00,110389,450
21-10-2018 0:00,98350,450
22-10-2018 0:00,78477,450
23-10-2018 0:00,80593,450
24-10-2018 0:00,81915,450
25-10-2018 0:00,85027,450
26-10-2018 0:00,119919,450
27-10-2018 0:00,123993,450
28-10-2018 0:00,109146,450
29-10-2018 0:00,86014,450
30-10-2018 0:00,83350,450
31-10-2018 0:00,81973,450
1-11-2018 0:00,83860,450
2-11-2018 0:00,92803,450
3-11-2018 0:00,98551,450
4-11-2018 0:00,88432,450
5-11-2018 0:00,67888,1200
6-11-2018 0:00,69185,450
7-11-2018 0:00,69112,450
8-11-2018 0:00,68480,450
9-11-2018 0:00,81381,450
10-11-2018 0:00,95421,450
11-11-2018 0:00,87034,450
12-11-2018 0:00,67068,450
13-11-2018 0:00,69018,450
14-11-2018 0:00,63082,450
15-11-2018 0:00,69210,315
16-11-2018 0:00,93847,315
17-11-2018 0:00,114655,315
18-11-2018 0:00,113514,315
19-11-2018 0:00,86188,315
20-11-2018 0:00,88439,315
21-11-2018 0:00,88184,315
22-11-2018 0:00,87101,315
23-11-2018 0:00,100470,315
24-11-2018 0:00,115938,315
25-11-2018 0:00,106763,315
26-11-2018 0:00,80694,315
27-11-2018 0:00,84153,450
28-11-2018 0:00,77417,450
29-11-2018 0:00,83117,450
30-11-2018 0:00,98156,450
1-12-2018 0:00,118926,450
2-12-2018 0:00,109578,450
3-12-2018 0:00,81308,450
4-12-2018 0:00,74274,450
5-12-2018 0:00,105418,450
6-12-2018 0:00,98490,315
7-12-2018 0:00,109276,315
8-12-2018 0:00,121731,450
9-12-2018 0:00,111757,450
10-12-2018 0:00,86727,450
11-12-2018 0:00,86450,450
12-12-2018 0:00,87966,450
13-12-2018 0:00,87333,450
14-12-2018 0:00,101520,450
15-12-2018 0:00,114102,450
16-12-2018 0:00,104805,450
17-12-2018 0:00,76609,450
18-12-2018 0:00,83902,450
19-12-2018 0:00,85647,450
20-12-2018 0:00,85425,270
21-12-2018 0:00,104888,270
22-12-2018 0:00,113148,270
23-12-2018 0:00,106929,270
24-12-2018 0:00,99220,270
25-12-2018 0:00,113159,270
26-12-2018 0:00,116734,270
27-12-2018 0:00,113423,270
28-12-2018 0:00,120624,270
29-12-2018 0:00,130554,270
30-12-2018 0:00,128939,270
31-12-2018 0:00,121531,270
1-1-2019 0:00,115245,270
2-1-2019 0:00,116029,270
3-1-2019 0:00,116388,450
